,speaker,index,word,time,word.dur,voicing.dur,vowel.dur,cluster.dur,spreading.dur,sonorant.dur,closure.dur,vor,voffr,mor,cond_no,ipa,cons1,vowel,height,anteroposterior,roundness,consonant,manner,place,aspiration,syllables,syl_structure,gloss,pos,comp,contx
46,tt01,181,detta,554.9788719,461.8030723,126.9633809,83.01075394,214.5363653,73.39099449,127.3436215,87.19274376,287.5471192,160.5837383,214.5363653,27,teʰta,nasp,e,mid,front,unrounded,ʰt,stop,coronal,yes,di,cvccv,fall,v,c,cc
47,jj04,3,kemba,42.55503401,433.5421563,180.3110156,101.0184986,139.2834467,0,89.29251701,49.99092971,230.3019453,49.99092971,139.2834467,38,cʰempa,asp,e,mid,front,unrounded,m,nasal,labial,no,di,cvncv,comb,v,c,cc
48,jj04,145,dökk,484.3236122,483.9642857,121.4960274,93.7454291,237.1030214,113.2904428,151.041041,86.06198035,320.8484505,199.3524231,237.1030214,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
49,shg05,47,kembt,131.9241119,376.4247921,85.14536767,73.41156463,184.3304989,119.7100745,141.4438776,42.88662132,247.7420635,162.5966958,184.3304989,33,cʰem̥t,asp,e,mid,front,unrounded,m̥,nasal,labial,yes,mono,cvcc,comb,v,c,cc
50,bte03,94,dögg,553.0663832,477.7525825,103.0723562,113.0723562,234.3673469,NA,NA,234.3673469,337.4397032,234.3673469,NA,4,tœkk,nasp,œ,mid,front,round,kk,stop,velar,no,mono,cvcc,dew,n,c,cc
51,shg05,80,dökk,220.17936,405.3935909,82.79909576,75.26766842,221.4631295,131.9432232,149.4746506,71.98847889,286.7307979,203.9317021,221.4631295,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
52,shg05,20,dult,54.76169347,416.9611077,95.30059887,94.99541086,209.250243,127.7644049,138.0695929,71.18065004,294.2456538,198.9450549,209.250243,46,tʏl̥t,nasp,ʏ,high,front,round,l̥,lateral,coronal,yes,mono,cvlc,reticent,adj,c,cc
53,shg05,130,kinn,351.33761,300.0629252,182.8846777,78.53894231,154.336212,51.19652305,114.3457354,NA,NA,NA,NA,44,cʰɪnn,asp,i,high,front,unrounded,nn,geminate,coronal,no,mono,cvcc,cheek,n,x,cx
54,brs02,80,dökk,269.2495795,448.137841,167.6910119,97.71097434,238.2636264,53.17390546,133.1539431,105.1096834,325.9746008,158.2835888,238.2636264,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
55,jj04,56,punt,200.9075916,479.7446403,130.2688172,101.4619098,192.2416925,86.70068027,125.5075877,66.7341049,283.7036024,153.4347852,192.2416925,31,pʰʏn̥t,asp,ʏ,high,front,round,n̥,nasal,coronal,yes,mono,cvnc,decoration,n,c,cc
56,jj04,66,punta,222.5870207,541.3170339,107.445556,78.86082873,216.7269048,85.06475606,123.6494833,93.07742144,285.5877335,178.1421775,216.7269048,39,pʰʏn̥ta,asp,ʏ,high,front,round,n̥,nasal,coronal,yes,di,cvncv,decoration,n,c,cc
57,jj04,82,kamba,261.8368991,491.0922586,196.0286539,100.0489287,165.6193297,0,105.9797252,59.63960448,255.6682584,59.63960448,165.6193297,36,kʰampa,asp,a,low,front,unrounded,m,nasal,labial,no,di,cvncv,comb,n,c,cc
58,shg05,60,pund,167.6422789,357.7444902,173.6950504,73.78520367,162.6596578,0,109.9098468,52.74981104,226.4448615,52.74981104,162.6596578,32,pʰʏnt,asp,ʏ,high,front,round,n,nasal,coronal,no,mono,cvnc,pound,n,c,cc
59,bte03,37,kamp,267.8033617,513.8637836,179.0548812,102.208752,268.7337584,117.9737969,204.8199262,63.9138322,360.9425103,181.8876291,268.7337584,29,kʰam̥p,asp,a,low,front,unrounded,m̥,nasal,labial,yes,mono,cvnc,moustache,n,c,cc
60,shg05,142,kemba,380.4786035,407.6799763,171.7664399,82.56778671,174.3925307,0,99.1986532,75.19387755,246.9603175,75.19387755,174.3925307,38,cʰempa,asp,e,mid,front,unrounded,m,nasal,labial,no,di,cvncv,comb,v,c,cc
61,brs02,72,kempa,247.4505288,479.8388094,151.4910197,87.43889854,169.0119268,24.49559083,98.54771198,70.46421485,246.4508254,94.95980568,169.0119268,37,cʰem̥pa,asp,e,mid,front,unrounded,m̥,nasal,labial,yes,di,cvncv,hero,n,c,cc
62,shg05,37,kubb,102.9946242,299.7774788,50.82070529,60.82070529,119.2155759,NA,NA,119.2155759,170.0362812,119.2155759,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
63,shg05,151,kamb,401.4907007,331.2834467,191.0448741,90.21882939,150.0345692,0,110.8260447,39.2085245,230.2533986,39.2085245,150.0345692,30,kʰamp,asp,a,low,front,unrounded,m,nasal,labial,no,mono,cvnc,comb,n,c,cc
64,jj04,30,kembdi,121.9612933,502.6141345,200.513085,93.36508022,197.6676571,0,117.1480048,80.51965231,281.0327373,80.51965231,197.6676571,34,cʰemtɪ,asp,e,mid,front,unrounded,m,nasal,labial,no,di,cvccv,comb,v,c,cc
65,shg05,24,kempa,66.54183447,448.3462718,86.19865724,64.51156463,173.4755858,79.29605175,110.9831444,62.49244142,227.9871504,141.7884932,173.4755858,37,cʰem̥pa,asp,e,mid,front,unrounded,m̥,nasal,labial,yes,di,cvncv,hero,n,c,cc
66,jj04,76,kubb,246.8033878,392.0861678,102.1102971,112.1102971,156.7821953,NA,NA,156.7821953,258.8924924,156.7821953,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
67,bte03,11,kembdi,108.7005782,553.3892779,226.8853724,105.5443798,223.0392914,0,131.3409926,91.69829888,318.5836712,91.69829888,223.0392914,34,cʰemtɪ,asp,e,mid,front,unrounded,m,nasal,labial,no,di,cvccv,comb,v,c,cc
68,jj04,53,tefla,193.979352,475.9532719,71.25,81.25,146.2055933,NA,NA,146.2055933,217.4555933,146.2055933,NA,59,tʰepla,asp,e,mid,front,unrounded,p,stop,labial,no,di,cvccv,play chess,v,x,cx
69,shg05,44,gelta,123.5084027,431.7586522,81.13569862,82.50566893,193.9779721,125.0393005,133.6693302,60.30864198,266.4836411,185.3479425,193.9779721,47,cel̥ta,nasp,e,mid,front,unrounded,l̥,lateral,coronal,yes,di,cvlcv,bark,v,c,cc
